Trial number,Testcase,Crash,Health,Operator log,Consistency,Differential,Custom,Alarm,Comment
lab1_0229/trial-00-0016/0004,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""tls\""]"", ""testcase"": ""boolean-deletion""}",,,,,None,,,
lab1_0229/trial-00-0016/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""tls\""]"", ""testcase"": ""boolean-toggle-off""}",,,,,None,,,
lab1_0229/trial-00-0016/0006,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""tls\""]"", ""testcase"": ""boolean-toggle-off""}",,,,,None,,,
lab1_0229/trial-00-0016/0007,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""tls\""]"", ""testcase"": ""boolean-toggle-on""}",,,,,None,,,
lab1_0229/trial-00-0017/0000,{},,,,,None,,,
lab1_0229/trial-00-0017/0001,"{""field"": ""[\""spec\"", \""monitor\""]"", ""testcase"": ""object-empty""}",,,,,None,,,
lab1_0229/trial-00-0017/0002,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""resources\"", \""limits\""]"", ""testcase"": ""object-deletion""}",,,,,None,,,
lab1_0229/trial-00-0017/0003,"{""field"": ""[\""spec\"", \""services\"", 0, \""componentSelector\""]"", ""testcase"": ""string-deletion""}",,,,"message='Invalid input determined from status message: the component of service selector is not exist, service: usdvcqisjl, component: ACTOKEY' responsible_property=[""spec"", ""services"", 0, ""name""]",None,,,
lab1_0229/trial-00-0017/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0017/0005,"{""field"": ""[\""spec\"", \""services\"", 0, \""componentSelector\""]"", ""testcase"": ""string-change""}",,,,"message='Invalid input determined from status message: the component of service selector is not exist, service: vxpmskxvto, component: ACTOKEY' responsible_property=[""spec"", ""services"", 0, ""name""]",None,,,
lab1_0229/trial-00-0017/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0017/0007,"{""field"": ""[\""spec\"", \""services\"", 0, \""componentSelector\""]"", ""testcase"": ""string-empty""}",,,,"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: spec.ports: Required value' responsible_property=[]",None,,,
lab1_0229/trial-00-0017/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0018/0000,{},,,,,None,,,
lab1_0229/trial-00-0018/0001,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""asVolumeFrom\""]"", ""testcase"": ""array-deletion""}",,,,,None,,,
lab1_0229/trial-00-0018/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0018/0003,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""asVolumeFrom\""]"", ""testcase"": ""array-push""}",,,,,None,,,
lab1_0229/trial-00-0018/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0018/0005,"{""field"": ""[\""spec\"", \""componentSpecs\"", 0, \""userResourceRefs\"", \""secretRefs\"", 0, \""asVolumeFrom\""]"", ""testcase"": ""array-empty""}",,,,,None,,,
lab1_0229/trial-00-0018/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
lab1_0229/trial-00-0019/0000,{},,,,,None,,,
lab1_0229/trial-00-0019/0001,"{""field"": ""[\""spec\"", \""services\"", 0, \""spec\"", \""clusterIPs\""]"", ""testcase"": ""array-pop""}",,,,"message='Invalid input determined from status message: Service ""test-cluster"" is invalid: [spec.ports: Required value, spec.clusterIPs: Invalid value: []string{""ACTOKEY"", ""ACTOKEY""}: must be empty when clusterIP is empty, spec.clusterIPs[0]: Invalid value: ""ACTOKEY"": must be a valid IP address, (e.g. 10.9.8.7 or 2001:db8::ffff), spec.clusterIPs[1]: Invalid value: ""ACTOKEY"": must be a valid IP address, (e.g. 10.9.8.7 or 2001:db8::ffff)]' responsible_property=[]",None,,,
lab1_0229/trial-00-0019/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,,,
