,Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom,Is true alarm,CR change,Comment
18,testrun-2024-02-18-15-43/trial-02-0017/0001,"{""field"": ""[\""spec\"", \""service\"", \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-wcxsj container [operator] restart_count [1]',,,None,,FALSE,Deletes ACTOKEY value in metadata annotation,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0018/0000,{},False,,,,,None,,,,
19,testrun-2024-02-18-15-43/trial-02-0018/0001,"{""field"": ""[\""spec\"", \""service\"", \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-xh8b2 container [operator] restart_count [1]',,,None,,FALSE,Changes ACTOKEY value in metadata annotation,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0019/0000,{},False,,,,,None,,,,
20,testrun-2024-02-18-15-43/trial-02-0019/0001,"{""field"": ""[\""spec\"", \""service\"", \""metadata\"", \""annotations\"", \""ACTOKEY\""]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-q299n container [operator] restart_count [1]',,,None,,FALSE,Sets ACTOKEY value in metadata annotation to empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0020/0000,{},False,,,,,None,,,,
21,testrun-2024-02-18-15-43/trial-02-0020/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""sidecars\"", \""pgbouncerConfig\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""integer-deletion""}",True,,message='pod: pgo-76698867bf-b4p9h container [operator] restart_count [1]',,,None,,FALSE,Modifies pgBouncer sidecar resource requests,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0021/0000,{},False,,,,,None,,,,
22,testrun-2024-02-18-15-43/trial-02-0021/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""sidecars\"", \""pgbouncerConfig\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""integer-change""}",True,,message='pod: pgo-76698867bf-pdwpw container [operator] restart_count [1]',,,None,,FALSE,Modifies pgBouncer sidecar resource requests,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0022/0000,{},False,,,,,None,,,,
23,testrun-2024-02-18-15-43/trial-02-0022/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""sidecars\"", \""pgbouncerConfig\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-7qt98 container [operator] restart_count [1]',,,None,,FALSE,Modifies pgBouncer sidecar resource requests,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0023/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0024/0000,{},False,,,,,None,,,,
24,testrun-2024-02-18-15-43/trial-02-0024/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""containers\""]"", ""testcase"": ""array-pop""}",True,,message='pod: pgo-76698867bf-whsjv container [operator] restart_count [1]',,,None,,FALSE,Modifies pgBouncer containers,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0025/0000,{},False,,,,,None,,,,
25,testrun-2024-02-18-15-43/trial-02-0025/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""containers\""]"", ""testcase"": ""array-empty""}",True,,message='pod: pgo-76698867bf-gb4hn container [operator] restart_count [1]',,,None,,FALSE,Modifies pgBouncer containers,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0026/0000,{},False,,,,,None,,,,
26,testrun-2024-02-18-15-43/trial-02-0026/0001,"{""field"": ""[\""spec\"", \""userInterface\"", \""pgAdmin\"", \""dataVolumeClaimSpec\"", \""volumeName\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-cs2fr container [operator] restart_count [1]',,,None,,FALSE,Modifies pgBouncer containers,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0027/0000,{},False,,,,,None,,,,
27,testrun-2024-02-18-15-43/trial-02-0027/0001,"{""field"": ""[\""spec\"", \""userInterface\"", \""pgAdmin\"", \""dataVolumeClaimSpec\"", \""volumeName\""]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-q7b84 container [operator] restart_count [1]',,,None,,FALSE,Modifies pgAdmin data volume name,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0028/0000,{},False,,,,,None,,,,
28,testrun-2024-02-18-15-43/trial-02-0028/0001,"{""field"": ""[\""spec\"", \""userInterface\"", \""pgAdmin\"", \""dataVolumeClaimSpec\"", \""volumeName\""]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-tfxqz container [operator] restart_count [1]',,,None,,FALSE,Modifies pgAdmin data volume name,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0029/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0029/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,,,,
29,testrun-2024-02-18-15-43/trial-02-0029/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: pgo-76698867bf-tssxz container [operator] restart_count [1]',,,None,,FALSE,Not what this one is doing since field name is empty,test-cluster-backup is a job. Completed pod is marked as failed.
30,testrun-2024-02-18-15-43/trial-02-0029/0003,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\""]"", ""testcase"": ""array-push""}",True,,message='pod: pgo-76698867bf-tssxz container [operator] restart_count [2]',,,None,,FALSE,Modifies containers in instances by pushing in one more object,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0030/0000,{},False,,,,,None,,,,
31,testrun-2024-02-18-15-43/trial-02-0030/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\""]"", ""testcase"": ""array-pop""}",True,,message='pod: pgo-76698867bf-fqh2v container [operator] restart_count [1]',,,None,,FALSE,Modifies containers in instances by poping out one more object,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0031/0000,{},False,,,,,None,,,,
32,testrun-2024-02-18-15-43/trial-02-0031/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\""]"", ""testcase"": ""array-empty""}",True,,message='pod: pgo-76698867bf-r5smb container [operator] restart_count [1]',,,None,,FALSE,Empties containers in instances,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0032/0000,{},False,,,,,None,,,,
33,testrun-2024-02-18-15-43/trial-02-0032/0001,"{""field"": ""[\""status\"", \""pgbackrest\"", \""manualBackup\"", \""finished\""]"", ""testcase"": ""boolean-deletion""}",True,,message='pod: pgo-76698867bf-ffs2s container [operator] restart_count [1]',,,None,,FALSE,Deletes the boolean field of manualBackup.finished,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0033/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0034/0000,{},False,,,,,None,,,,
34,testrun-2024-02-18-15-43/trial-02-0034/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""pgmonitor\"", \""exporter\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""integer-deletion""}",True,message='Pod test-cluster-backup-jlhj-nfpvp crashed',"message='statefulset: test-cluster-instance1-w4h7 replicas [0] ready_replicas [None]\npod: test-cluster-backup-jlhj-nfpvp, pgo-76698867bf-h25j6 container [operator] restart_count [1]'",,,None,,FALSE,Changing the actokey field in metadata annoation.,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0035/0000,{},False,,,,,None,,,,
35,testrun-2024-02-18-15-43/trial-02-0035/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""pgmonitor\"", \""exporter\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""integer-change""}",True,message='Pod test-cluster-backup-vp2b-bsv5t crashed',"message='statefulset: test-cluster-instance1-6gsb replicas [0] ready_replicas [None]\npod: test-cluster-backup-vp2b-bsv5t, pgo-76698867bf-5ctzs container [operator] restart_count [1]'",,,None,,FALSE,Modifies pgmonitor resource request,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0036/0000,{},False,,,,,None,,,,
36,testrun-2024-02-18-15-43/trial-02-0036/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""pgmonitor\"", \""exporter\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",True,message='Pod test-cluster-backup-chkq-c685p crashed',"message='statefulset: test-cluster-instance1-9spp replicas [0] ready_replicas [None]\npod: test-cluster-backup-chkq-c685p, pgo-76698867bf-5fdlh container [operator] restart_count [1]'",,,None,,FALSE,Modifies pgmonitor resource request,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0037/0000,{},False,,,,,None,,,,
37,testrun-2024-02-18-15-43/trial-02-0037/0001,"{""field"": ""[\""spec\"", \""monitoring\"", \""pgmonitor\"", \""exporter\"", \""resources\"", \""requests\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-backup-cfv5-d8lgt crashed',"message='statefulset: test-cluster-instance1-ftrv replicas [0] ready_replicas [None]\npod: test-cluster-backup-cfv5-d8lgt, pgo-76698867bf-2jvfc container [operator] restart_count [1]'",,,None,,FALSE,Modifies pgmonitor resource request,test-cluster-backup is a job. Completed pod is marked as failed.
